(Intercept),Elevation,Patrol,Treatment,Elevation:Patrol,Elevation:Treatment,Patrol:Treatment,Elevation:Patrol:Treatment,df,logLik,AICc,delta,weight
0.18011059589439105,+,+,+,+,+,NA,NA,37,-1868.4059366482677,3813.47980498534,0,0.784801644902023
0.18075871744733119,+,+,+,+,+,+,NA,40,-1866.831747487612,3816.7843322730355,3.3045272876956915,0.150380291196388
0.19262910028000524,+,+,+,+,+,+,+,57,-1849.4408936454859,3819.276371430237,5.796566444897053,0.0432565117072891
0.1774546306771584,+,+,+,+,NA,NA,NA,20,-1890.0748695582565,3820.9340528420034,7.454247856663642,0.018883850310594
0.1774233383277194,+,+,+,+,NA,+,NA,23,-1888.9035206439403,3824.8407491530493,11.360944167709476,0.00267770188309159
0.18415129216234363,+,+,+,NA,+,+,NA,33,-1900.8227878277378,3869.766558642243,56.28675365690333,4.70161048162725e-13
0.17815924877300424,+,NA,+,NA,+,NA,NA,29,-1906.9259667773176,3873.4903516337313,60.01054664839148,7.30525317914618e-14
0.1812651121475943,+,+,+,NA,NA,+,NA,16,-1921.2014990827734,3874.9090446771747,61.42923969183494,3.5939331265438e-14
0.17774566014512827,+,+,+,NA,+,NA,NA,30,-1906.9112946913556,3875.5756525306847,62.095847545344895,2.57524134119981e-14
0.17558255063136752,+,NA,+,NA,NA,NA,NA,12,-1926.9719929029486,3878.2331424324034,64.75333744706359,6.81948118646784e-15
0.17514272613803847,+,+,+,NA,NA,NA,NA,13,-1926.955599720964,3880.2488617795907,66.7690567942509,2.48910628161626e-15
0.20287796403555092,+,+,NA,+,NA,NA,NA,17,-1940.0301710907981,3914.630174583831,101.15036959849112,8.51601122242341e-23
0.20068196489868428,+,NA,NA,NA,NA,NA,NA,9,-1974.2647041186679,3966.69576683253,153.2159618471901,4.21052761226324e-34
0.20025277635387612,+,+,NA,NA,NA,NA,NA,10,-1974.2505151698638,3968.7045456033725,155.22474061803268,1.54218243379725e-34
0.2096953624825789,NA,+,+,NA,NA,+,NA,9,-1984.2566440045184,3986.679646604231,173.19984161889124,1.92704636439609e-38
0.20377287985489215,NA,NA,+,NA,NA,NA,NA,5,-1989.539330905597,3989.133910429978,175.6541054446384,5.64879150673053e-39
0.2032297759973351,NA,+,+,NA,NA,NA,NA,6,-1989.5176266070484,3991.1126725689355,177.63286758359573,2.1002587684035e-39
0.2351733769475026,NA,NA,NA,NA,NA,NA,NA,2,-2035.7263391158056,4075.4636975153576,261.9838925300178,1.01316567511193e-57
0.23458934986284338,NA,+,NA,NA,NA,NA,NA,3,-2035.7037541535685,4077.4295671306663,263.94976214532653,3.7913799139116e-58
