Treatment,Elevation,Patrol,response,SE,df,lower.CL,upper.CL
ALL,A200,A_Wet,5.536472531046195,NA,1051,NA,NA
ANT,A200,A_Wet,4.508878108931048,NA,1051,NA,NA
CN1,A200,A_Wet,4.057820214709909,NA,1051,NA,NA
VER,A200,A_Wet,5.723669164071788,NA,1051,NA,NA
ALL,B700,A_Wet,4.761137527629766,NA,1051,NA,NA
ANT,B700,A_Wet,4.145380719597063,NA,1051,NA,NA
CN1,B700,A_Wet,4.247083575097139,NA,1051,NA,NA
VER,B700,A_Wet,5.0759831293114335,NA,1051,NA,NA
ALL,C1200,A_Wet,4.8566099739858215,NA,1051,NA,NA
ANT,C1200,A_Wet,3.400718384039431,NA,1051,NA,NA
CN1,C1200,A_Wet,3.688209096497888,NA,1051,NA,NA
VER,C1200,A_Wet,4.705751251188974,NA,1051,NA,NA
ALL,D1700,A_Wet,4.4327193202235335,NA,1051,NA,NA
ANT,D1700,A_Wet,3.9690193945290098,NA,1051,NA,NA
CN1,D1700,A_Wet,3.7191845860117994,NA,1051,NA,NA
VER,D1700,A_Wet,4.714079654243529,NA,1051,NA,NA
ALL,E2200,A_Wet,4.511352702713264,NA,1051,NA,NA
ANT,E2200,A_Wet,3.8418928528836824,NA,1051,NA,NA
CN1,E2200,A_Wet,3.427757292173112,NA,1051,NA,NA
VER,E2200,A_Wet,3.2179745494362644,NA,1051,NA,NA
ALL,F2700,A_Wet,4.705675757778175,NA,1051,NA,NA
ANT,F2700,A_Wet,3.3153648500521355,NA,1051,NA,NA
CN1,F2700,A_Wet,3.7884856827717277,NA,1051,NA,NA
VER,F2700,A_Wet,4.538396249578531,NA,1051,NA,NA
ALL,G3200,A_Wet,Inf,NA,1051,NA,NA
ANT,G3200,A_Wet,1.1015262387883984,NA,1051,NA,NA
CN1,G3200,A_Wet,3.912487250177587,NA,1051,NA,NA
VER,G3200,A_Wet,4.470295242162387,NA,1051,NA,NA
ALL,H3700,A_Wet,Inf,NA,1051,NA,NA
ANT,H3700,A_Wet,1.095738448724734,NA,1051,NA,NA
CN1,H3700,A_Wet,3.5317058108061485,NA,1051,NA,NA
VER,H3700,A_Wet,4.749979851592791,NA,1051,NA,NA
ALL,A200,B_Dry,5.658070082694475,NA,1051,NA,NA
ANT,A200,B_Dry,4.58919904253296,NA,1051,NA,NA
CN1,A200,B_Dry,4.122758992043948,NA,1051,NA,NA
VER,A200,B_Dry,5.853725108033156,NA,1051,NA,NA
ALL,B700,B_Dry,5.0975383787205155,NA,1051,NA,NA
ANT,B700,B_Dry,4.398085801733806,NA,1051,NA,NA
CN1,B700,B_Dry,4.512737823410457,NA,1051,NA,NA
VER,B700,B_Dry,5.460141140407764,NA,1051,NA,NA
ALL,C1200,B_Dry,5.283001140484798,NA,1051,NA,NA
ANT,C1200,B_Dry,3.604422909626691,NA,1051,NA,NA
CN1,C1200,B_Dry,3.929030570092683,NA,1051,NA,NA
VER,C1200,B_Dry,5.104975483194124,NA,1051,NA,NA
ALL,D1700,B_Dry,5.035697581781901,NA,1051,NA,NA
ANT,D1700,B_Dry,4.445660259006953,NA,1051,NA,NA
CN1,D1700,B_Dry,4.134568534666947,NA,1051,NA,NA
VER,D1700,B_Dry,5.40197299878974,NA,1051,NA,NA
ALL,E2200,B_Dry,4.112547099504354,NA,1051,NA,NA
ANT,E2200,B_Dry,3.548821737064439,NA,1051,NA,NA
CN1,E2200,B_Dry,3.192529532943283,NA,1051,NA,NA
VER,E2200,B_Dry,3.009783772475281,NA,1051,NA,NA
ALL,F2700,B_Dry,5.145250270027299,NA,1051,NA,NA
ANT,F2700,B_Dry,3.527702642972952,NA,1051,NA,NA
CN1,F2700,B_Dry,4.068308779126221,NA,1051,NA,NA
VER,F2700,B_Dry,4.94592058735052,NA,1051,NA,NA
ALL,G3200,B_Dry,Inf,NA,1051,NA,NA
ANT,G3200,B_Dry,0.9651264854317553,NA,1051,NA,NA
CN1,G3200,B_Dry,2.604884327677765,NA,1051,NA,NA
VER,G3200,B_Dry,2.8408994883370475,NA,1051,NA,NA
ALL,H3700,B_Dry,75.63262991517291,NA,1051,NA,NA
ANT,H3700,B_Dry,0.9484192284206873,NA,1051,NA,NA
CN1,H3700,B_Dry,2.3534462649941377,NA,1051,NA,NA
VER,H3700,B_Dry,2.838597047732419,NA,1051,NA,NA
